SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
Acres,,Acres,R1738,Acres,14,Decimal,4,1,Number,Right,0,,,,,,-99999999,99999999,,0,,0,,,,,
AdditionalInfo,,"Additional Info",R1740,"Additional Info",1000,Character,,1,LookupMulti,Left,0,,AdditionalInfo,100,,,,,,0,,0,,,,,
AmortizedOverNumYrs,,"Amortized Over Num Yrs",R1742,"Amortized Over Num Yrs",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
AnnualAssociationFee,,"Annual Association Fee",R1744,"Annual Association Fee",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
AnnualDebtService,,"Annual Debt Service",R1745,"Annual Debt Service",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
AVMYN,,AVMYN,R1748,AVMYN,1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
BloggingYN,,"Blogging YN",R1749,"Blogging YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
BroadbandYN,,"Broadband YN",R1754,"Broadband YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
BusinessEstablish,,"Business Establish",R1756,"Business Establish",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
CanalWidth,,"Canal Width",R1760,"Canal Width",75,Character,,1,Lookup,Left,0,,CanalWidth,1,,,,,,0,,0,,,,,
CDOM,,CDOM,R1764,CDOM,11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
City,,City,R1772,City,75,Character,,1,Lookup,Left,0,,City,1,,,,,,0,,0,,,,,
CloseDate,,"Close Date",R1773,"Close Date",10,Date,,1,,Left,0,,,,,,,,,0,,0,,,,,
ClosePrice,,"Close Price",R1774,"Close Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
ClosingType,,"Closing Type",R2619,"Closing Type",75,Character,,1,Lookup,Left,0,,ClosingType,1,,,,,,0,,0,,,,,
CoListAgent_MUI,,"Co List Agent MUI",R1775,"Co List Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoListAgentDirectWorkPhone,,"Co List Agent Direct Work Phone",R1776,"Co List Agent Direct Wor",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListAgentFullName,,"Co List Agent Full Name",R1778,"Co List Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListAgentMLSID,,"Co List Agent MLSID",R1779,"Co List Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
