SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
Acres,,Acres,R2035,Acres,14,Decimal,4,1,Number,Right,0,,,,,,-99999999,99999999,,0,,0,,,,,
Amenities,,Amenities,R2037,Amenities,1000,Character,,1,LookupMulti,Left,0,,Amenities,100,,,,,,0,,0,,,,,
Approval,,Approval,R2038,Approval,1000,Character,,1,LookupMulti,Left,0,,Approval,100,,,,,,0,,0,,,,,
ApproxDistanceToGulfMiles,,"Approx Distance To Gulf Miles",R2039,"Approx Distance To Gulf ",12,Decimal,2,1,Number,Right,0,,,,,,-99999999,99999999,,0,,0,,,,,
ApproxDistanceToGulfMins,,"Approx Distance To Gulf Mins",R2040,"Approx Distance To Gulf ",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
AVMYN,,AVMYN,R2041,AVMYN,1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
Block,,Block,R2042,Block,20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
BloggingYN,,"Blogging YN",R2043,"Blogging YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
BoatLiftType,,"Boat Lift Type",R2045,"Boat Lift Type",1000,Character,,1,LookupMulti,Left,0,,BoatLiftType,100,,,,,,0,,0,,,,,
BuyerAgentComp,,"Buyer Agent Comp",R2047,"Buyer Agent Comp",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CanalWidth,,"Canal Width",R2329,"Canal Width",75,Character,,1,Lookup,Left,0,,CanalWidth,1,,,,,,0,,0,,,,,
CDOM,,CDOM,R2049,CDOM,11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
City,,City,R2057,City,75,Character,,1,Lookup,Left,0,,City,1,,,,,,0,,0,,,,,
CloseDate,,"Close Date",R2058,"Close Date",10,Date,,1,,Left,0,,,,,,,,,0,,0,,,,,
ClosePrice,,"Close Price",R2059,"Close Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
CoListAgent_MUI,,"Co List Agent MUI",R2060,"Co List Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoListAgentDirectWorkPhone,,"Co List Agent Direct Work Phone",R2061,"Co List Agent Direct Wor",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListAgentFullName,,"Co List Agent Full Name",R2063,"Co List Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
