SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
Acres,,Acres,R1481,Acres,14,Decimal,4,1,Number,Right,0,,,,,,-99999999,99999999,,0,,0,,,,,
ActiveOpenHouseCount,,"Active Open House Count",R1482,"Active Open House Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Amenities,,Amenities,R1484,Amenities,1000,Character,,1,LookupMulti,Left,0,,Amenities,100,,,,,,0,,0,,,,,
AmenityRecFee,,"Amenity Rec Fee",R1485,"Amenity Rec Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
AmenRecFreq,,"Amen Rec Freq",R1486,"Amen Rec Freq",75,Character,,1,Lookup,Left,0,,FeeFrequency,1,,,,,,0,,0,,,,,
Approval,,Approval,R1489,Approval,1000,Character,,1,LookupMulti,Left,0,,Approval,100,,,,,,0,,0,,,,,
AssociationMngmtPhone,,"Association Mngmt Phone",R2348,"Association Mngmt Phone",15,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
AvailableDocuments,,"Available Documents",R1492,"Available Documents",1000,Character,,1,LookupMulti,Left,0,,AvailableDocuments,100,,,,,,0,,0,,,,,
AVMYN,,AVMYN,R1493,AVMYN,1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
Block,,Block,R1494,Block,20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
BloggingYN,,"Blogging YN",R1495,"Blogging YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
BoatAccess,,"Boat Access",R1498,"Boat Access",1000,Character,,1,LookupMulti,Left,0,,BoatAccess,100,,,,,,0,,0,,,,,
BuyersCountryOfResidence,,"Buyers Country Of Residence",R2359,"Buyers Country Of Reside",75,Character,,1,Lookup,Left,0,,BuyersCountryofResidence,1,,,,,,0,,0,,,,,
CanalWidth,,"Canal Width",R1502,"Canal Width",75,Character,,1,Lookup,Left,0,,CanalWidth,1,,,,,,0,,0,,,,,
CDOM,,CDOM,R1504,CDOM,11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
City,,City,R1512,City,75,Character,,1,Lookup,Left,0,,City,1,,,,,,0,,0,,,,,
CloseDate,,"Close Date",R1513,"Close Date",10,Date,,1,,Left,0,,,,,,,,,0,,0,,,,,
ClosePrice,,"Close Price",R1514,"Close Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
CoListAgent_MUI,,"Co List Agent MUI",R1515,"Co List Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoListAgentDirectWorkPhone,,"Co List Agent Direct Work Phone",R1516,"Co List Agent Direct Wor",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListAgentFullName,,"Co List Agent Full Name",R1518,"Co List Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListAgentMLSID,,"Co List Agent MLSID",R1519,"Co List Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOffice_MUI,,"Co List Office MUI",R1520,"Co List Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoListOfficeMLSID,,"Co List Office MLSID",R1521,"Co List Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOfficeName,,"Co List Office Name",R1522,"Co List Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOfficePhone,,"Co List Office Phone",R1523,"Co List Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CommunityType,,"Community Type",R1524,"Community Type",1000,Character,,1,LookupMulti,Left,0,,CommunityType,100,,,,,,0,,0,,,,,
CondoFee,,"Condo Fee",R1526,"Condo Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
CondoFeeFreq,,"Condo Fee Freq",R1527,"Condo Fee Freq",75,Character,,1,Lookup,Left,0,,FeeFrequency,1,,,,,,0,,0,,,,,
CoSellingAgent_MUI,,"Co Selling Agent MUI",R1531,"Co Selling Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoSellingAgentFullName,,"Co Selling Agent Full Name",R1534,"Co Selling Agent Full Na",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingAgentMLSID,,"Co Selling Agent MLSID",R1535,"Co Selling Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingOffice_MUI,,"Co Selling Office MUI",R1536,"Co Selling Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoSellingOfficeMLSID,,"Co Selling Office MLSID",R1537,"Co Selling Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingOfficeName,,"Co Selling Office Name",R1538,"Co Selling Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingOfficePhone,,"Co Selling Office Phone",R1539,"Co Selling Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CountyOrParish,,"County Or Parish",R1540,"County Or Parish",75,Character,,1,Lookup,Left,0,,CountyOrParish,1,,,,,,0,,0,,,,,
CreatedDate,,"Created Date",R1541,"Created Date",10,Date,,1,,Left,0,,,,,,,,,0,,0,,,,,
