SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
Acres,,Acres,R597,Acres,14,Decimal,4,1,Number,Right,0,,,,,,-99999999,99999999,,0,,0,,,,,
ActiveOpenHouseCount,,"Active Open House Count",R598,"Active Open House Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
AdditionalRooms,,"Additional Rooms",R599,"Additional Rooms",1000,Character,,1,LookupMulti,Left,0,,AdditionalRooms,100,,,,,,0,,0,,,,,
Amenities,,Amenities,R601,Amenities,1000,Character,,1,LookupMulti,Left,0,,Amenities,100,,,,,,0,,0,,,,,
AmenityRecFee,,"Amenity Rec Fee",R602,"Amenity Rec Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
AmenRecFreq,,"Amen Rec Freq",R603,"Amen Rec Freq",75,Character,,1,Lookup,Left,0,,FeeFrequency,1,,,,,,0,,0,,,,,
AnnualFoodAndBeverageMinimum,,"Annual Food And Beverage Minimum",R4109,"Annual Food And Beverage",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
ApplicationFee,,"Application Fee",R606,"Application Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
Approval,,Approval,R607,Approval,1000,Character,,1,LookupMulti,Left,0,,Approval,100,,,,,,0,,0,,,,,
ApproxLivingArea,,"Approx Living Area",R608,"Approx Living Area",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
AssociationMngmtPhone,,"Association Mngmt Phone",R609,"Association Mngmt Phone",15,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
AttributionContact,,"Attribution Contact",R4354,"Attribution Contact",80,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
AttributionContactOverride,,"Attribution Contact Override",R4355,"Attribution Contact Over",80,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
AuctionYN,,"Auction YN",R2531,"Auction YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
AVMYN,,AVMYN,R611,AVMYN,1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
BathsFull,,"Baths Full",R612,"Baths Full",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
BathsHalf,,"Baths Half",R613,"Baths Half",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
BathsTotal,,"Baths Total",R614,"Baths Total",7,Decimal,2,1,Number,Right,0,,,,,,-999,999,,0,,0,,,,,
BedroomDesc,,"Bedroom Desc",R615,"Bedroom Desc",1000,Character,,1,LookupMulti,Left,0,,BedroomDesc,100,,,,,,0,,0,,,,,
Bedrooms,,Bedrooms,R2242,Bedrooms,75,Character,,1,Lookup,Left,0,,Bedrooms,1,,,,,,0,,0,,,,,
BedsTotal,,"Beds Total",R616,"Beds Total",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Block,,Block,R617,Block,20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
BloggingYN,,"Blogging YN",R618,"Blogging YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
BoatAccess,,"Boat Access",R621,"Boat Access",1000,Character,,1,LookupMulti,Left,0,,BoatAccess,100,,,,,,0,,0,,,,,
BuilderProductYN,,"Builder Product YN",R624,"Builder Product YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
BuildingDesc,,"Building Desc",R625,"Building Desc",1000,Character,,1,LookupMulti,Left,0,,BuildingDesc,100,,,,,,0,,0,,,,,
BuildingDesign,,"Building Design",R626,"Building Design",75,Character,,1,Lookup,Left,0,,BuildingDesign,1,,,,,,0,,0,,,,,
BuildingNumber,,"Building Number",R627,"Building Number",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
BuyerAgentComp,,"Buyer Agent Comp",R628,"Buyer Agent Comp",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CableAvailableYN,,"Cable Available YN",R629,"Cable Available YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
CanalWidth,,"Canal Width",R630,"Canal Width",75,Character,,1,Lookup,Left,0,,CanalWidth,1,,,,,,0,,0,,,,,
CarportDesc,,"Carport Desc",R632,"Carport Desc",75,Character,,1,Lookup,Left,0,,CarportDesc,1,,,,,,0,,0,,,,,
CarportSpaces,,"Carport Spaces",R633,"Carport Spaces",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
CDOM,,CDOM,R634,CDOM,11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
City,,City,R642,City,75,Character,,1,Lookup,Left,0,,City,1,,,,,,0,,0,,,,,
CloseDate,,"Close Date",R643,"Close Date",10,Date,,1,,Left,0,,,,,,,,,0,,0,,,,,
ClosePrice,,"Close Price",R644,"Close Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
CoListAgent_MUI,,"Co List Agent MUI",R645,"Co List Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoListAgentFullName,,"Co List Agent Full Name",R648,"Co List Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListAgentMLSID,,"Co List Agent MLSID",R649,"Co List Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOffice_MUI,,"Co List Office MUI",R650,"Co List Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoListOfficeMLSID,,"Co List Office MLSID",R651,"Co List Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOfficeName,,"Co List Office Name",R652,"Co List Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOfficePhone,,"Co List Office Phone",R653,"Co List Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CommunityType,,"Community Type",R654,"Community Type",1000,Character,,1,LookupMulti,Left,0,,CommunityType,100,,,,,,0,,0,,,,,
ConditionalDate,,"Conditional Date",R655,"Conditional Date",10,Date,,1,,Left,0,,,,,,,,,0,,0,,,,,
CondoFee,,"Condo Fee",R656,"Condo Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
CondoFeeFreq,,"Condo Fee Freq",R657,"Condo Fee Freq",75,Character,,1,Lookup,Left,0,,FeeFrequency,1,,,,,,0,,0,,,,,
Construction,,Construction,R659,Construction,1000,Character,,1,LookupMulti,Left,0,,Construction,100,,,,,,0,,0,,,,,
Cooling,,Cooling,R662,Cooling,1000,Character,,1,LookupMulti,Left,0,,Cooling,100,,,,,,0,,0,,,,,
CoSellingAgent_MUI,,"Co Selling Agent MUI",R663,"Co Selling Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoSellingAgentFullName,,"Co Selling Agent Full Name",R666,"Co Selling Agent Full Na",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingAgentMLSID,,"Co Selling Agent MLSID",R667,"Co Selling Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingOffice_MUI,,"Co Selling Office MUI",R668,"Co Selling Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
