SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
Acres,,Acres,R897,Acres,14,Decimal,4,1,Number,Right,0,,,,,,-99999999,99999999,,0,,0,,,,,
ActiveOpenHouseCount,,"Active Open House Count",R898,"Active Open House Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Amenities,,Amenities,R900,Amenities,1000,Character,,1,LookupMulti,Left,0,,Amenities,100,,,,,,0,,0,,,,,
AVMYN,,AVMYN,R917,AVMYN,1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
BathsFull,,"Baths Full",R918,"Baths Full",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
BathsHalf,,"Baths Half",R919,"Baths Half",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
BathsTotal,,"Baths Total",R920,"Baths Total",7,Decimal,2,1,Number,Right,0,,,,,,-999,999,,0,,0,,,,,
Bedrooms,,Bedrooms,R2244,Bedrooms,75,Character,,1,Lookup,Left,0,,Bedrooms,1,,,,,,0,,0,,,,,
BedsTotal,,"Beds Total",R921,"Beds Total",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Block,,Block,R922,Block,20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
BloggingYN,,"Blogging YN",R923,"Blogging YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
BoatAccess,,"Boat Access",R926,"Boat Access",1000,Character,,1,LookupMulti,Left,0,,BoatAccess,100,,,,,,0,,0,,,,,
BuildingDesc,,"Building Desc",R929,"Building Desc",1000,Character,,1,LookupMulti,Left,0,,BuildingDesc,100,,,,,,0,,0,,,,,
BuildingDesign,,"Building Design",R930,"Building Design",75,Character,,1,Lookup,Left,0,,BuildingDesign,1,,,,,,0,,0,,,,,
BuildingNumber,,"Building Number",R931,"Building Number",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
BuyerAgentComp,,"Buyer Agent Comp",R932,"Buyer Agent Comp",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CableAvailableYN,,"Cable Available YN",R933,"Cable Available YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
CanalWidth,,"Canal Width",R934,"Canal Width",75,Character,,1,Lookup,Left,0,,CanalWidth,1,,,,,,0,,0,,,,,
CDOM,,CDOM,R938,CDOM,11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
City,,City,R946,City,75,Character,,1,Lookup,Left,0,,City,1,,,,,,0,,0,,,,,
CloseDate,,"Close Date",R947,"Close Date",10,Date,,1,,Left,0,,,,,,,,,0,,0,,,,,
ClosePrice,,"Close Price",R948,"Close Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
CoListAgent_MUI,,"Co List Agent MUI",R949,"Co List Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoListAgentDirectWorkPhone,,"Co List Agent Direct Work Phone",R950,"Co List Agent Direct Wor",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListAgentFullName,,"Co List Agent Full Name",R952,"Co List Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListAgentMLSID,,"Co List Agent MLSID",R953,"Co List Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOffice_MUI,,"Co List Office MUI",R954,"Co List Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoListOfficeMLSID,,"Co List Office MLSID",R955,"Co List Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOfficeName,,"Co List Office Name",R956,"Co List Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOfficePhone,,"Co List Office Phone",R957,"Co List Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CommunityType,,"Community Type",R958,"Community Type",1000,Character,,1,LookupMulti,Left,0,,CommunityType,100,,,,,,0,,0,,,,,
Construction,,Construction,R963,Construction,1000,Character,,1,LookupMulti,Left,0,,Construction,100,,,,,,0,,0,,,,,
Cooling,,Cooling,R966,Cooling,1000,Character,,1,LookupMulti,Left,0,,Cooling,100,,,,,,0,,0,,,,,
CoSellingAgent_MUI,,"Co Selling Agent MUI",R967,"Co Selling Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoSellingAgentFullName,,"Co Selling Agent Full Name",R970,"Co Selling Agent Full Na",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingAgentMLSID,,"Co Selling Agent MLSID",R971,"Co Selling Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoSellingOffice_MUI,,"Co Selling Office MUI",R972,"Co Selling Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
