SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
Acres,,Acres,R2661,Acres,14,Decimal,4,1,Number,Right,0,,,,,,-99999999,99999999,,0,,0,,,,,
ActiveOpenHouseCount,,"Active Open House Count",R1215,"Active Open House Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
AdditionalRooms,,"Additional Rooms",R1216,"Additional Rooms",1000,Character,,1,LookupMulti,Left,0,,AdditionalRooms,100,,,,,,0,,0,,,,,
Amenities,,Amenities,R1218,Amenities,1000,Character,,1,LookupMulti,Left,0,,Amenities,100,,,,,,0,,0,,,,,
AmenityRecFee,,"Amenity Rec Fee",R1219,"Amenity Rec Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
AmenRecFreq,,"Amen Rec Freq",R1220,"Amen Rec Freq",75,Character,,1,Lookup,Left,0,,FeeFrequency,1,,,,,,0,,0,,,,,
ApplicationFee,,"Application Fee",R1224,"Application Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
ApprovalPeriod,,"Approval Period",R1225,"Approval Period",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
ApproxLivingArea,,"Approx Living Area",R1226,"Approx Living Area",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
AssnApplicationFee,,"Assn Application Fee",R1227,"Assn Application Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
AssociationSecurityFee,,"Association Security Fee",R1228,"Association Security Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
AvailabilityType,,"Availability Type",R1229,"Availability Type",1000,Character,,1,LookupMulti,Left,0,,AvailabilityType,100,,,,,,0,,0,,,,,
BathsFull,,"Baths Full",R1232,"Baths Full",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
BathsHalf,,"Baths Half",R1233,"Baths Half",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
BathsTotal,,"Baths Total",R1234,"Baths Total",7,Decimal,2,1,Number,Right,0,,,,,,-999,999,,0,,0,,,,,
Bedrooms,,Bedrooms,R2243,Bedrooms,75,Character,,1,Lookup,Left,0,,Bedrooms,1,,,,,,0,,0,,,,,
